date,product_id,category,quantity_sold,stock_quantity,expiration_days,price,promotion,day_of_week,waste_risk
2025-05-13,32,boulangerie,26,126,4,7.06,0,1,25.0
2025-05-14,41,legumes,3,40,2,4.96,1,0,18.5
2025-05-15,33,legumes,14,28,8,12.77,1,1,1.75
2025-05-16,43,laitage,10,75,1,7.98,1,6,65.0
2025-05-17,27,laitage,23,8,3,14.4,1,6,-5.0
2025-05-18,25,boulangerie,28,67,3,13.88,0,3,13.0
2025-05-19,49,legumes,12,7,6,11.51,0,2,-0.83
2025-05-20,46,viande,3,74,3,6.63,0,4,23.67
2025-05-21,7,viande,18,122,9,9.23,1,3,11.56
2025-05-22,11,viande,28,126,1,14.52,0,0,98.0
2025-05-23,13,legumes,20,124,8,10.69,0,4,13.0
2025-05-24,19,laitage,19,141,9,7.12,1,6,13.56
2025-05-25,14,boulangerie,26,81,2,7.56,0,2,27.5
2025-05-26,41,legumes,24,104,8,4.21,0,0,10.0
2025-05-27,6,boulangerie,3,61,9,7.1,1,4,6.44
2025-05-28,34,viande,19,33,1,14.63,0,6,14.0
2025-05-29,25,viande,8,122,5,5.74,0,3,22.8
2025-05-30,9,fruits,27,42,2,8.18,0,5,7.5
2025-05-31,3,legumes,0,17,1,0.78,0,4,17.0
2025-06-01,7,boulangerie,2,146,9,11.54,0,3,16.0
2025-06-02,40,viande,24,58,7,7.1,0,3,4.86
2025-06-03,40,fruits,25,134,6,12.05,1,5,18.17
2025-06-04,41,boulangerie,13,92,6,13.19,0,2,13.17
2025-06-05,4,viande,17,62,7,8.61,0,4,6.43
2025-06-06,44,boulangerie,2,70,4,13.62,0,0,17.0
2025-06-07,14,viande,18,77,9,1.89,1,0,6.56
2025-06-08,42,legumes,28,25,2,0.72,0,1,-1.5
2025-06-09,40,laitage,7,67,2,6.13,0,6,30.0
2025-06-10,17,fruits,25,139,5,6.0,0,1,22.8
2025-06-11,12,viande,25,107,8,9.59,0,4,10.25
2025-06-12,21,laitage,11,24,9,7.42,0,2,1.44
2025-06-13,20,laitage,26,40,5,13.99,0,1,2.8
2025-06-14,35,legumes,28,61,4,11.93,0,2,8.25
2025-06-15,45,fruits,11,73,9,2.76,0,3,6.89
2025-06-16,19,viande,20,106,6,5.24,1,4,14.33
2025-06-17,16,viande,24,15,7,2.73,0,6,-1.29
2025-06-18,14,boulangerie,6,138,7,14.28,0,5,18.86
2025-06-19,39,fruits,5,131,7,13.57,0,4,18.0
2025-06-20,31,boulangerie,0,141,9,7.07,0,3,15.67
2025-06-21,11,viande,29,6,4,6.98,0,2,-5.75
2025-06-22,35,fruits,0,129,7,10.9,1,6,18.43
2025-06-23,13,boulangerie,3,78,5,2.52,0,5,15.0
2025-06-24,32,fruits,7,144,7,4.37,0,1,19.57
2025-06-25,31,viande,25,86,1,5.22,0,2,61.0
2025-06-26,47,legumes,18,26,3,0.67,1,2,2.67
2025-06-27,5,boulangerie,5,117,5,5.76,0,5,22.4
2025-06-28,10,viande,27,42,7,4.4,0,6,2.14
2025-06-29,28,boulangerie,12,71,1,1.57,0,0,59.0
2025-06-30,44,legumes,6,123,7,6.86,0,4,16.71
2025-07-01,41,viande,15,52,1,12.07,1,4,37.0
2025-07-02,8,viande,26,7,8,14.56,0,1,-2.38
2025-07-03,28,laitage,25,102,4,2.37,0,5,19.25
2025-07-04,20,boulangerie,14,137,4,7.55,0,3,30.75
2025-07-05,16,laitage,26,145,1,13.46,0,5,119.0
2025-07-06,16,fruits,26,51,4,5.68,1,1,6.25
2025-07-07,10,viande,15,94,9,5.8,0,6,8.78
2025-07-08,22,laitage,22,65,5,13.08,0,1,8.6
2025-07-09,3,laitage,20,37,9,9.11,0,0,1.89
2025-07-10,23,legumes,17,65,9,3.94,0,4,5.33
2025-07-11,27,laitage,6,109,1,13.38,0,5,103.0
2025-07-12,47,viande,8,48,5,10.23,0,3,8.0
2025-07-13,38,viande,13,65,9,10.27,0,4,5.78
2025-07-14,9,boulangerie,27,11,6,12.83,0,6,-2.67
2025-07-15,35,viande,9,65,4,1.15,1,4,14.0
2025-07-16,10,fruits,3,6,9,3.43,1,2,0.33
2025-07-17,39,fruits,10,8,5,4.39,0,0,-0.4
2025-07-18,40,viande,7,37,2,3.73,0,6,15.0
2025-07-19,22,laitage,1,33,3,10.09,0,4,10.67
2025-07-20,43,viande,25,28,3,4.11,0,6,1.0
2025-07-21,24,fruits,0,140,7,2.92,0,5,20.0
2025-07-22,24,viande,12,40,9,6.18,0,1,3.11
2025-07-23,10,legumes,20,45,9,7.85,1,5,2.78
2025-07-24,41,legumes,28,64,8,10.56,1,5,4.5
2025-07-25,11,laitage,13,28,1,10.34,0,3,15.0
2025-07-26,26,viande,6,82,3,7.25,0,5,25.33
2025-07-27,43,legumes,20,38,5,0.86,0,2,3.6
2025-07-28,46,boulangerie,9,67,6,6.51,0,5,9.67
2025-07-29,14,legumes,24,23,7,2.39,0,3,-0.14
2025-07-30,32,viande,7,143,8,7.73,0,6,17.0
2025-07-31,46,boulangerie,29,117,6,13.71,0,2,14.67
2025-08-01,43,fruits,0,83,5,5.0,0,2,16.6
2025-08-02,24,boulangerie,13,12,1,5.97,0,2,-1.0
2025-08-03,12,viande,4,23,4,11.77,0,1,4.75
2025-08-04,38,boulangerie,12,70,7,12.15,1,0,8.29
2025-08-05,37,legumes,20,126,4,4.84,0,6,26.5
2025-08-06,1,laitage,12,145,5,4.26,0,3,26.6
2025-08-07,40,legumes,29,42,1,12.2,1,5,13.0
2025-08-08,8,boulangerie,3,31,5,10.52,0,6,5.6
2025-08-09,46,laitage,14,145,8,8.01,1,1,16.38
2025-08-10,42,laitage,4,70,6,2.51,0,5,11.0
2025-08-11,14,laitage,21,84,8,6.29,0,0,7.88
2025-08-12,45,viande,23,126,2,1.12,0,2,51.5
2025-08-13,12,viande,11,43,3,9.69,0,4,10.67
2025-08-14,12,laitage,22,42,9,13.46,0,5,2.22
2025-08-15,6,legumes,29,30,6,7.3,0,5,0.17
2025-08-16,45,laitage,28,38,5,5.22,0,5,2.0
2025-08-17,21,fruits,12,132,8,14.54,0,4,15.0
2025-08-18,46,legumes,12,94,5,5.74,1,3,16.4
2025-08-19,36,fruits,10,8,1,7.54,0,5,-2.0
2025-08-20,3,laitage,8,23,4,3.24,1,1,3.75
2025-08-21,40,legumes,16,149,3,12.13,0,1,44.33
2025-08-22,32,boulangerie,28,11,9,12.83,0,3,-1.89
2025-08-23,18,fruits,29,133,5,1.19,0,5,20.8
2025-08-24,42,laitage,3,28,5,11.97,1,3,5.0
2025-08-25,2,viande,17,142,8,5.86,1,6,15.62
2025-08-26,23,boulangerie,28,140,7,11.24,0,6,16.0
2025-08-27,38,laitage,3,94,7,5.89,0,6,13.0
2025-08-28,13,laitage,19,45,3,3.9,0,3,8.67
2025-08-29,47,legumes,9,100,3,11.89,1,5,30.33
2025-08-30,8,legumes,11,15,3,10.57,0,3,1.33
2025-08-31,22,legumes,27,52,6,9.21,0,3,4.17
2025-09-01,44,laitage,5,148,2,6.64,0,1,71.5
2025-09-02,16,fruits,8,24,6,14.97,0,0,2.67
2025-09-03,34,legumes,10,110,3,2.57,0,1,33.33
2025-09-04,24,fruits,3,81,2,12.07,0,2,39.0
2025-09-05,42,boulangerie,26,58,8,5.52,0,1,4.0
2025-09-06,1,legumes,9,19,7,8.6,0,0,1.43
2025-09-07,24,legumes,23,133,7,2.02,0,3,15.71
2025-09-08,6,fruits,24,121,6,3.65,0,0,16.17
2025-09-09,40,fruits,10,29,9,3.56,0,4,2.11
2025-09-10,23,laitage,2,110,8,8.03,0,0,13.5
2025-09-11,31,laitage,8,15,5,11.54,0,6,1.4
2025-09-12,8,boulangerie,18,129,7,9.65,0,1,15.86
2025-09-13,43,boulangerie,14,45,2,2.16,0,4,15.5
2025-09-14,18,fruits,5,31,3,6.95,0,3,8.67
2025-09-15,5,boulangerie,16,80,6,9.21,0,0,10.67
2025-09-16,39,legumes,22,99,3,9.8,0,2,25.67
2025-09-17,25,legumes,9,139,9,11.87,0,1,14.44
2025-09-18,41,legumes,3,51,2,8.37,0,4,24.0
2025-09-19,38,viande,21,50,5,1.42,0,4,5.8
2025-09-20,48,laitage,23,28,1,11.48,1,0,5.0
2025-09-21,17,laitage,6,61,4,10.52,0,5,13.75
2025-09-22,17,boulangerie,14,123,6,12.41,0,4,18.17
2025-09-23,34,boulangerie,9,128,4,10.34,0,5,29.75
2025-09-24,22,boulangerie,21,77,2,2.78,1,3,28.0
2025-09-25,31,legumes,14,135,8,6.17,0,1,15.12
2025-09-26,14,fruits,0,79,6,11.45,0,2,13.17
2025-09-27,15,legumes,4,145,8,8.46,1,6,17.62
2025-09-28,43,laitage,14,142,8,13.75,0,3,16.0
2025-09-29,46,laitage,2,112,3,9.55,1,6,36.67
2025-09-30,16,boulangerie,23,113,3,6.64,0,0,30.0
2025-10-01,33,fruits,18,59,2,2.16,1,3,20.5
2025-10-02,11,boulangerie,17,13,9,12.13,1,1,-0.44
2025-10-03,40,viande,0,43,9,4.54,0,4,4.78
2025-10-04,17,legumes,23,129,3,9.35,0,5,35.33
2025-10-05,6,fruits,28,96,7,2.91,0,0,9.71
2025-10-06,33,boulangerie,21,122,8,10.04,0,3,12.62
2025-10-07,12,fruits,23,134,1,9.46,0,4,111.0
2025-10-08,22,fruits,18,50,2,14.69,0,1,16.0
2025-10-09,21,boulangerie,26,123,8,9.68,1,2,12.12
2025-10-10,5,viande,3,16,7,10.22,1,3,1.86
2025-10-11,14,fruits,14,64,3,11.24,0,6,16.67
2025-10-12,43,fruits,18,145,4,0.84,0,5,31.75
2025-10-13,32,laitage,2,75,5,12.36,0,5,14.6
2025-10-14,37,laitage,22,70,8,14.77,0,4,6.0
2025-10-15,39,boulangerie,15,38,6,10.93,0,5,3.83
2025-10-16,40,boulangerie,23,94,2,12.44,0,5,35.5
2025-10-17,44,viande,17,89,3,7.95,0,0,24.0
2025-10-18,7,legumes,19,93,6,14.32,1,1,12.33
2025-10-19,18,legumes,15,109,6,13.47,0,5,15.67
2025-10-20,47,viande,12,96,7,14.76,0,2,12.0
2025-10-21,27,boulangerie,19,42,7,6.01,1,1,3.29
2025-10-22,25,boulangerie,26,83,7,11.7,0,0,8.14
2025-10-23,11,boulangerie,2,92,7,3.57,0,2,12.86
2025-10-24,6,boulangerie,7,13,2,10.63,1,1,3.0
2025-10-25,24,laitage,26,88,8,5.92,0,6,7.75
2025-10-26,34,fruits,20,59,3,4.02,0,4,13.0
2025-10-27,37,boulangerie,28,28,1,2.68,1,6,0.0
2025-10-28,16,fruits,19,15,8,7.77,0,4,-0.5
2025-10-29,9,legumes,8,137,4,6.21,1,0,32.25
2025-10-30,43,boulangerie,24,89,3,7.34,0,1,21.67
2025-10-31,9,laitage,7,70,4,1.64,0,3,15.75
2025-11-01,6,boulangerie,22,141,5,4.12,0,5,23.8
2025-11-02,2,viande,29,40,9,3.88,0,6,1.22
2025-11-03,7,legumes,14,34,4,13.71,0,5,5.0
2025-11-04,36,fruits,21,52,7,10.74,0,1,4.43
2025-11-05,34,viande,1,74,4,10.23,0,6,18.25
2025-11-06,5,viande,26,39,5,9.79,0,4,2.6
2025-11-07,31,boulangerie,18,108,1,12.38,0,6,90.0
2025-11-08,11,fruits,11,7,3,0.55,0,6,-1.33
2025-11-09,35,boulangerie,8,67,2,12.67,1,1,29.5
2025-11-10,36,boulangerie,22,79,1,2.34,1,1,57.0
2025-11-11,19,viande,24,148,6,10.5,0,2,20.67
2025-11-12,21,boulangerie,17,46,8,14.32,1,0,3.62
2025-11-13,27,fruits,21,147,4,4.13,0,4,31.5
2025-11-14,46,viande,15,22,5,12.37,1,5,1.4
2025-11-15,3,boulangerie,17,92,4,14.48,1,3,18.75
2025-11-16,42,viande,12,114,4,12.81,0,6,25.5
2025-11-17,47,legumes,20,83,4,7.31,0,0,15.75
2025-11-18,21,legumes,25,37,8,1.82,1,1,1.5
2025-11-19,7,boulangerie,6,122,7,10.27,0,1,16.57
2025-11-20,47,viande,11,146,5,10.08,0,2,27.0
2025-11-21,28,boulangerie,8,19,8,7.33,0,6,1.38
2025-11-22,29,legumes,14,17,7,12.46,0,1,0.43
2025-11-23,37,legumes,29,132,1,1.42,1,5,103.0
2025-11-24,29,fruits,28,59,2,8.47,0,5,15.5
2025-11-25,8,boulangerie,1,131,7,9.65,0,1,18.57
2025-11-26,30,viande,7,141,1,7.05,0,4,134.0
2025-11-27,26,legumes,1,75,2,4.4,0,0,37.0
2025-11-28,13,laitage,8,141,1,10.92,0,5,133.0
2025-11-29,3,viande,20,54,3,12.46,0,5,11.33
2025-11-30,32,viande,8,21,7,6.43,0,3,1.86
2025-12-01,1,legumes,25,11,5,4.62,0,4,-2.8
2025-12-02,30,fruits,3,14,8,9.01,1,6,1.38
